"Institution","Transfer Subject","Transfer Course #","Transfer Course Title","Term","Marist Subject","Marist Course #","Marist Course Title","Status","Group"
"DUTCHESS COMMUNITY COLLEGE","9","103","3D DESIGN","197520","ART","201N","3D DESIGN","AC",""
"DUTCHESS COMMUNITY COLLEGE","9","210","ART STUDIO ELEC","199440","ART","800N","ART STUDIO ELEC","AC",""
"DUTCHESS COMMUNITY COLLEGE","38","255","PSYCHOLOGY COURSE","197520","PSYC","901L","PSYCHOLOGY COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","4","GE101","HISTORY COUSRE","197520","HIST","901L","HISTORY COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","41","180","COLL WRITING II","197520","ENG","117L","COLL WRITING II","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","1","ACCOUNTING ELECT","199440","ACCT","800N","ACCOUNTING ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","4","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","100","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","101","PRINC ACCOUNTING I","199020","ACCT","801N","ACCOUNTING ELECTIVE","AC","1"
"DUTCHESS COMMUNITY COLLEGE","ACC","101","ACCOUNTING I","199020","ACCT","801N","ACCOUNTING ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","102","PRINC ACCOUNTING II","197520","ACCT","802N","ACCOUNTING ELECT","AC","1"
"DUTCHESS COMMUNITY COLLEGE","ACC","102","ACCOUNTING II","197520","ACCT","802N","ACCOUNTING ELECT","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","104","FINANCIAL ACCTNG","197520","ACCT","203N","FINANCIAL ACCTNG","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","105","ACCOUNTING ELECTIVE","199440","ACCT","800N","ACCOUNTING ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","106","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","110","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","113","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","194","FINANCIAL ACCTNG","197520","ACCT","203N","FINANCIAL ACCTNG","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","201","MANAGERIAL ACCTNG","197520","ACCT","204N","MANAGERIAL ACCTNG","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","204","MANAGERIAL ACCTNG","197520","ACCT","204N","MANAGERIAL ACCTNG","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","205","COMPUTER ACCT APPL","197520","ACCT","802N","ACCOUNTING ELECT","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","205","COMPUTER ACCT APPL","197520","ACCT","802N","ACCOUNTING ELECT","AC","2"
"DUTCHESS COMMUNITY COLLEGE","ACC","211","ACCOUNTING ELECTIVE","199020","ACCT","801N","ACCOUNTING ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","213","ACCOUNTING SYSTEMS","199020","ACCT","801N","ACCOUNTING ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","213","ACCOUNTING SYSTEMS","197520","ACCT","350N","ACCTING SYSTEMS","IN","2"
"DUTCHESS COMMUNITY COLLEGE","ACC","213","ACCOUNTING SYSTEMS","197520","ACCT","802N","ACCOUNTING ELECT","IN","2"
"DUTCHESS COMMUNITY COLLEGE","ACC","213","ACCOUNTING SYSTEMS","199020","ACCT","801N","ACCOUNTING ELECTIVE","IN","2"
"DUTCHESS COMMUNITY COLLEGE","ACC","213","ACCOUNTING SYSTEMS","197520","ACCT","802N","ACCOUNTING ELECT","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","213","ACCOUNTING SYSTEMS","197520","ACCT","350N","ACCTING SYSTEMS","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","220","ACCT COURSE","197520","ACCT","901N","ACCT COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","221","INTERM ACCTING I","199520","ACCT","301N","INTERM ACCTING I","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","221","INTERM ACCTING I","199520","ACCT","301N","INTERM ACCTING I","IN",""
"DUTCHESS COMMUNITY COLLEGE","ACC","221","INTERM ACCTING I","197520","ACCT","301N","INTERM ACCTING I","IN",""
"DUTCHESS COMMUNITY COLLEGE","ACC","221","INTERM ACCTING I","197520","ACCT","301N","INTERM ACCTING I","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","221L","INTERM ACCTG I","197520","ACCT","301N","INTERM ACCTING I","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","241","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","260","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","271","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","272","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ACC","273","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","AHS","101","GENERAL ELECTIVE","199020","ELEC","801L","GENERAL ELECTIVE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ANT","102","ANTHROPOLOGY II","197520","ANTH","102L","ANTHROPOLOGY II","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","100","1","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","101","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","103","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","104","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","105","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","106","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","107","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","108","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","109","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","110","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
"DUTCHESS COMMUNITY COLLEGE","ARC","113","NON-TRANSFERABLE COURSE","199520","REG","800L","NON-TRANSFERABLE COURSE","AC",""
